match,count
RandomForestClassifier(),386
RandomForestClassifier(n_estimators=100),141
RandomForestClassifier(random_state=0),58
RandomForestClassifier(n_estimators = 100),52
RandomForestClassifier(n_estimators=10),52
"RandomForestClassifier(max_depth=5, n_estimators=10, max_features=1)",50
"RandomForestClassifier(n_estimators=100, n_jobs=-1)",44
RandomForestClassifier(n_estimators=500),25
RandomForestClassifier(n_estimators=1000),19
RandomForestClassifier(n_classifiers),18
RandomForestClassifier(n_estimators=50),18
RandomForestClassifier(n_jobs=-1),17
RandomForestClassifier(n_estimators=20),15
RandomForestClassifier(random_state=1),14
RandomForestClassifier(n_estimators=25),13
RandomForestClassifier(**params),13
RandomForestClassifier(n_estimators=n_estimators),13
RandomForestClassifier(**kwargs),12
RandomForestClassifier(ForestClassifier),12
RandomForestClassifier(n_jobs=2),11
"RandomForestClassifier(n_estimators=1, criterion='entropy', max_depth=1)",11
RandomForestClassifier(n_estimators=30),11
RandomForestClassifier(n_estimators=200),10
"RandomForestClassifier(n_estimators=300, n_jobs=-1)",10
RandomForestClassifier( n_estimators = 100 ),10
"RandomForestClassifier(numTrees=3, maxDepth=2, labelCol=""indexed"", seed=42)",10
"RandomForestClassifier(n_estimators=100, n_jobs=2)",8
"RandomForestClassifier(n_estimators=50, n_jobs=-1)",8
"RandomForestClassifier(n_estimators=100, random_state=0)",8
"RandomForestClassifier(n_estimators=100, random_state=1)",7
"RandomForestClassifier(n_estimators=1000, n_jobs=-1)",7
"RandomForestClassifier(n_estimators=rf_n_estimators, max_features=rf_max_features, random_state=random_state)",7
RandomForestClassifier(n_estimators=300),6
RandomForestClassifier(min_samples_split=100),6
"RandomForestClassifier(n_estimators=10, max_depth=None, min_samples_split=1, random_state=0)",6
RandomForestClassifier(n_estimators=trees),6
"RandomForestClassifier(n_estimators = 100, n_jobs = 12, random_state = 4)",6
RandomForestClassifier(n_estimators=750),6
RandomForestClassifier(random_state=42),5
RandomForestClassifier(object),5
"RandomForestClassifier(min_samples_leaf=20,n_jobs=-1)",5
"RandomForestClassifier(n_estimators=500, max_depth=None, min_samples_split=1, random_state=0)",5
"RandomForestClassifier(n_estimators=1, verbose=verbose)",5
"RandomForestClassifier(n_estimators=50, verbose=2, compute_importances=True, n_jobs=-1)",5
"RandomForestClassifier(n_estimators=100, n_jobs=-1, criterion='gini')",5
"RandomForestClassifier(n_estimators=100, n_jobs=-1, random_state=0)",5
RandomForestClassifier(n_estimators=150),4
RandomForestClassifier(**self.params),4
"RandomForestClassifier(n_estimators=10, n_jobs=1)",4
"RandomForestClassifier(criterion='entropy', n_estimators=10, random_state=1, n_jobs=2)",4
RandomForestClassifier(SklModel),4
"RandomForestClassifier(n_estimators=100,criterion= 'entropy')",4
"RandomForestClassifier(n_estimators = 20, n_jobs = 8)",4
RandomForestClassifier(n_estimators = 10),4
RandomForestClassifier(criterion='entropy'),4
RandomForestClassifier(n_estimators = 50),4
"RandomForestClassifier(random_state=0, n_estimators=100)",4
"RandomForestClassifier(n_estimators=10, max_depth=4)",4
"RandomForestClassifier(labelCol=""indexedLabel"", featuresCol=""indexedFeatures"", numTrees=10)",4
RandomForestClassifier(RandomForest),3
RandomForestClassifier(n_estimators=n),3
RandomForestClassifier(**model_params),3
"RandomForestClassifier(n_estimators=estimators, class_weight=""balanced"", random_state=random_state)",3
"RandomForestClassifier(criterion='gini', random_state=random_state, n_jobs=n_jobs, verbose=verbose, n_estimators=n_estimators, max_features=None)",3
"RandomForestClassifier(max_depth=RFC_depth, n_estimators=RFC_estimators)",3
"RandomForestClassifier(n_estimators=100, max_features=""auto"",random_state=50)",3
RandomForestClassifier(n_estimators = n_estimators),3
"RandomForestClassifier(n_estimators=10, max_features=.5)",3
"RandomForestClassifier(n_estimators=100,random_state=randomseedcounter)",3
RandomForestClassifier(class_weight='balanced'),3
"RandomForestClassifier(*args, **kwargs)",3
"RandomForestClassifier(n_estimators=11, max_depth=7)",3
RandomForestClassifier(n_estimators=n_trees),3
"RandomForestClassifier(n_estimators=500, n_jobs=-1)",3
"RandomForestClassifier(n_estimators=100, criterion='gini')",3
RandomForestClassifier(bootstrap = False),3
RandomForestClassifier(n_estimators = 200),3
"RandomForestClassifier(n_jobs=-1, class_weight='auto', max_depth=5)",3
"RandomForestClassifier( n_estimators = 100, n_jobs = -1, verbose = 1 )",3
"RandomForestClassifier(class_weight={False:1, True:1}, n_jobs=-1, criterion=""entropy"", warm_start=True)",3
"RandomForestClassifier(random_state=0, bootstrap=False)",3
RandomForestClassifier(n_estimators=15),3
"RandomForestClassifier(n_jobs=2, max_depth=max_dep)",3
RandomForestClassifier(50),3
"RandomForestClassifier(n_estimators=1000, bootstrap=False)",3
"RandomForestClassifier(n_estimators=1000, max_depth=25, min_samples_leaf=3, n_jobs=16, random_state=42)",3
RandomForestClassifier(max_depth=3),3
RandomForestClassifier(max_features = 'auto'),3
RandomForestClassifier(n_estimators=400),3
"RandomForestClassifier(labelCol = 'label', featuresCol = 'features')",3
"RandomForestClassifier(n_estimators=100, max_depth=100, min_samples_split=2, min_samples_leaf=1)",3
RandomForestClassifier(100),2
"RandomForestClassifier(min_samples_split=1, bootstrap=False)",2
