,1258
kernel='linear',647
probability=True,434
C=1,383
kernel='rbf',333
"kernel=""linear""",171
C=C,170
random_state=0,143
dual=False,125
"penalty=""l2""",110
class_weight='auto',109
gamma=0.001,100
C=1.0,100
gamma=gamma,65
C=0.025,60
class_weight='balanced',59
kernel=kernel,59
5.0.2195.4905,57
C=c,55
C=10,53
C=100,48
penalty='l1',44
verbose=False,39
kernel='poly',38
"kernel=""rbf""",37
"penalty=""l1""",37
kernel = 'linear',37
kernel='precomputed',35
C=1.,34
verbose=True,33
kernel = 'rbf',30
tol=1e-3,30
probability = True,28
C=0.01,28
degree=3,27
default 1,27
cache_size=7000,27
penalty='l2',26
probability=False,25
loss='l2',24
**kwargs,23
random_state=1,23
shrinking=True,22
class_weight=None,21
max_iter=-1,20
C=100.,19
decision_function_shape='ovr',19
tol=0.001,19
random_state=42,18
degree=2,18
C=10.0,18
dual=True,17
cache_size=200,17
C=0.1,17
kernel=arc_cosine,17
coef0=0.0,17
cache_size=2048,16
self,16
random_state=None,15
LinearSVC,15
loss='hinge',15
ClassifierMixin,15
max_iter=10000,15
C=10000,14
random_state = 0,14
gamma=0.0,14
gamma=0.01,14
gamma=2,13
cache_size=2000,13
2013 only,13
C=1000,13
C=self.C,13
penalty=penalty,13
shrinking=False,13
random_state=self.random_state,12
BaseLibSVM,12
gamma=0.7,12
loss='squared_hinge',12
BaseSVC,12
gamma = gamma,11
C = C,11
"class_weight=""auto""",11
gamma=0.1,11
C = 1,11
cache_size=1000,10
gamma=1,10
service,10
random_state=random_state,10
**params,10
C=2.0,10
gamma = 0.001,10
decision_function_shape='ovo',10
C = c,10
gamma=10,9
C=cost,9
max_iter=max_iter,9
multi_class='ovr',9
C = 1.0,9
C=svm_C,9
degree=degree,9
kernel=kernel_map[self.kernel.get(,9
gamma=0.0001,9
C=inf,8
random_state=seed,8
C=0.3,8
gamma=1.0,8
C=3.4,8
"class_weight=""balanced""",8
C=params['aC'],8
C=0.0001,8
gamma=params['agamma'],8
verbose=verbose,8
cache_size = 1000,8
dual=0,8
gamma=0.005,8
cache_size=500,8
"kernel=""precomputed""",7
C=2,7
C= 1.0,7
loss='l1',7
random_state=241,7
fit_intercept=True,7
gamma=0.5,7
verbose=1,7
kernel = kernel,7
C=20,7
"kernel=""poly""",7
gamma=g,7
tol=1e-5,7
coef0=1,7
it is faster,7
C=10.,6
class_weight = 'auto',6
*args,6
tol=0.0001,6
C=optimal_c,6
tol=1e-6,6
C=5,6
probability=probability,6
tol=0.00001,6
gamma=optimal_gamma,6
C=0.5,6
"kernel = ""rbf""",6
C=50,6
tol=tol,6
object,6
C=6.5,6
C=best_c,6
gamma=best_g,6
tol=1e-4,6
C=conf.svm.C,6
C=.1,5
raw=False,5
EvolutionStrategy,5
nu=0.01,5
kernel=k,5
six.with_metaclass(ABCMeta,5
C=self.c_value,5
cache_size=cache_size,5
regParam=0.01,5
max_iter=300,5
= 10x faster,5
max_iter=200,5
kernel=self.kernel,5
gamma=0.75,5
maxIter=5,5
class_weight=class_weight,5
C=0.001,5
gamma=self.gamma_value,5
Classifier,5
X,5
max_iter=1000,5
dual = False,5
C=svm_c,5
C=100000,5
gamma=.2,5
gamma=self.gamma,5
RPCService,5
on XPCOM at least,5
kernel=my_kernel,5
max_iter=100000,4
C=100.0,4
C=496.6,4
Support Vector Classification,4
%s,4
"kernel = ""linear""",4
random_state=2,4
fmap,4
C=reg,4
decision_function_shape=None,4
**hparams,4
scale_C=True,4
gamma=0.00767,4
input_dict,4
kernel=kernel.arc_cosine,4
gamma=0.10,4
tol=0.1,4
kernel = 'precomputed',4
fit_intercept=False,4
**self.kwargs,4
params,4
C=1e5,4
because MSVC is special,4
coef0=coef0,4
C=0.80,4
decision_function_shape = 'ovr',4
gamma=0.0955,4
C=0.05,4
verbose = True,4
C=1000.0,4
kernel=str('linear',4
C=10000000,4
i,4
ScikitLearnClassifier,4
C=2.8,4
multi_class='crammer_singer',3
y,3
cache_size=5000,3
**job,3
linear kernel,3
class_weight = class_weight,3
shrinking = shrinking,3
gamma=manual_param['gamma'],3
C = REG_C,3
gamma='auto',3
degree=9,3
0,3
nu=0.5,3
args,3
C=manual_param['C'],3
cache_size=CACHE_SIZE,3
degree=4,3
max_iter = 10000,3
C= 100.,3
dual=dual,3
verbose=0,3
random_state=2727,3
loss=loss,3
verbose = verbose,3
gamma=gama,3
C = self._best_parameter_C,3
C={C},3
gamma=0.05,3
SVC,3
gamma=.001,3
kernel='sigmoid',3
decision_function_shape=decision_function_shape,3
C = Cparam,3
C= np.inf,3
class_weight={-1:1,3
gamma=3,3
kernel=krnl,3
random_state=args.seed,3
C=0.02,3
C = svmDef.Cfactor,3
99,3
cache_size=512,3
C=1000000.0,3
probability = probability,3
C=401,3
C=0.8,3
data,3
random_state=1234,3
random_state=RANDOM_STATE,3
C=5.,3
cache_size=4096,3
C=1000000,3
C=0.4,3
shrinking=shrinking,3
kernel=paras['svm'][1],3
tol = 1.0,3
gamma = g,3
