match,count
,5982978
"SVC()
",506
"SVC(kernel='linear')
",153
"SVC(C=1, gamma=0.01, kernel='rbf').fit(scaled_train_X, train_y_reduced)
",66
"SVC(C=1, kernel='linear')
",54
"SVC(probability=True)
",50
"SVC(kernel=""linear"")
",38
"SVC())
",37
"SVC(gamma=0.001)
",30
"SVC(kernel='rbf')
",29
"SVC(C=1, kernel='linear', probability=True)
",27
"SVC (default 1)
",26
"SVC(C=1, gamma=0.01, kernel='rbf').fit(scaled_train_X, y_train)
",22
"SVC(kernel='linear'))
",21
"SVC(kernel='rbf', class_weight='balanced'), param_grid)
",21
"SVC(kernel='linear', probability=True, random_state=0)
",17
"SVC(kernel='rbf', class_weight='auto'), param_grid)
",16
"SVC() ",15
"SVC(kernel='linear', probability=True)
",15
"SVC(), param_grid=param_grid, cv=cv)
",15
"SVC(C=C, gamma=gamma)
",15
"SVC(kernel='linear', C=1)
",14
"SVC()))
",13
"SVC(probability=True))
",12
"SVC(gamma=0.001, C=100.)
",12
"SVC(kernel=arc_cosine, cache_size=2048)
",10
"SVC(kernel='linear', C=1.0, random_state=0)
",10
"SVC(random_state=1))])
",10
"SVC(kernel='linear', C=C).fit(X, y)
",10
"SVC(kernel='linear', probability=True, C=svm_C)
",9
"SVC(kernel='precomputed')
",9
"SVC(kernel='linear', C=inf)
",8
"SVC(kernel='linear', probability=True).fit(X_train, y_train)
",8
"SVC( kernel = 'rbf',cache_size = 1000)
",8
"SVC(C=1), param_grid, cv=5).fit(X, y)
",8
"SVC(kernel='linear', C=1.0)
",8
"SVC(probability = True)
",8
"SVC(), ""sample_weight"")
",8
"SVC(C=params['aC'],gamma=params['agamma'],probability=True, cache_size=7000)
",8
"SVC(kernel=""linear"", C=1.0)
",7
"SVC(kernel='linear', C=1))
",7
"SVC(C=1), tuned_parameters, cv=5, scoring=score)
",7
"SVC(C=c, kernel='precomputed')
",7
"SVC(**params)
",7
"SVC(C=10, gamma=0.005)
",7
"SVC(kernel='linear').fit(X, Y)
",7
"SVC(kernel='linear', C=10)
",7
"SVC(probability=True, **kwargs)
",6
"SVC(kernel='linear', C=C)
",6
"SVC(C=best_c, gamma=best_g, kernel='rbf')
",6
"SVC(C=1., kernel=""linear"")
",6
"SVC(), tuned_parameters, cv=5, scoring='accuracy')
",6
"SVC(kernel=""linear"", C=1)
",6
"SVC(kernel='linear', C=0.01)
",6
"SVC(decision_function_shape='ovr')
",6
"SVC(kernel=""linear"", C= 1.0)
",6
"SVC(C=optimal_c, kernel='rbf', gamma=optimal_gamma)
",6
