match,count
,5982540
SVC(),757
SVC(kernel='linear'),225
SVC(probability=True),94
"SVC(C=1, gamma=0.01, kernel='rbf')",88
"SVC(C=1, kernel='linear')",57
SVC(kernel='rbf'),54
SVC(C=1),53
"SVC(kernel=""linear"")",50
"SVC(kernel=""linear"", C=0.025)",45
"SVC(kernel='linear', probability=True)",39
"SVC(kernel='linear', C=1)",35
SVC(gamma=0.001),32
SVC (default 1),27
"SVC(C=1, kernel='linear', probability=True)",27
"SVC(kernel='linear', C=C)",26
"SVC(kernel='rbf', class_weight='balanced')",24
"SVC(kernel='linear', probability=True, random_state=0)",23
"SVC(kernel='rbf', class_weight='auto')",19
"SVC(C=C, gamma=gamma)",17
"SVC(gamma=0.001, C=100.)",14
SVC(kernel=kernel),12
"SVC(gamma=2, C=1)",12
"SVC(kernel='linear', C=1.0, random_state=0)",11
SVC(random_state=1),11
SVC(BaseSVC),10
SVC(kernel='precomputed'),10
"SVC(self, service)",10
"SVC(kernel=arc_cosine, cache_size=2048)",10
SVC(**params),10
SVC(decision_function_shape='ovo'),9
SVC(kernel=kernel_map[self.kernel.get(),9
"SVC(kernel='linear', class_weight='auto')",9
"SVC(C=1, probability=True)",9
"SVC(kernel='linear', C=1.0)",8
"SVC(kernel=""linear"", C=1.0)",8
"SVC(kernel='linear', C=inf)",8
SVC(probability = True),8
"SVC(kernel='linear', probability=True, C=svm_C)",8
"SVC(C=params['aC'],gamma=params['agamma'],probability=True, cache_size=7000)",8
"SVC( kernel = 'rbf',cache_size = 1000)",8
"SVC(C=10, gamma=0.005)",8
"SVC(kernel=""linear"", C=C)",7
"SVC(kernel='linear', C=10)",7
"SVC(kernel='rbf', probability=True)",7
SVC(class_weight='auto'),7
SVC(**kwargs),7
"SVC(C=c, kernel='precomputed')",7
"SVC(kernel='linear', C=0.01)",7
SVC (it is faster),7
"SVC(kernel=""linear"", C= 1.0)",6
"SVC(cache_size = 1000, class_weight='auto', kernel = 'poly')",6
"SVC(kernel=""linear"", C=3.4)",6
"SVC(kernel='linear', C=1, probability=True)",6
"SVC(C=optimal_c, kernel='rbf', gamma=optimal_gamma)",6
"SVC(kernel=kernel, C=C)",6
"SVC(C=best_c, gamma=best_g, kernel='rbf')",6
"SVC(C=1., kernel=""linear"")",6
"SVC(kernel='rbf', C=C)",6
SVC(decision_function_shape='ovr'),6
"SVC(kernel=""linear"", C=1.)",6
"SVC(gamma=0.001, C=100)",6
"SVC(kernel=""linear"", C=1)",6
"SVC(kernel=kernel, gamma=10)",5
"SVC(kernel = 'rbf', gamma=self.gamma_value, C=self.c_value)",5
"SVC(*args, **kwargs)",5
"SVC(C=1.0, kernel='linear')",5
SVC(gamma=.2),5
SVC(kernel='poly'),5
SVC(kernel = 'linear'),5
"SVC(kernel=""rbf"", probability=True)",5
"SVC(C=2.0,gamma=0.5)",5
"SVC(kernel=""linear"", C=0.025, probability=True)",5
"SVC(kernel='linear', shrinking=False, C=1)",5
SVC (= 10x faster),5
SVC(C=C),4
"SVC(probability=True, kernel='linear')",4
"SVC(C=496.6,gamma=0.00767,probability=True, cache_size=7000)",4
"SVC(kernel='rbf', gamma=gamma, C=C)",4
SVC(ScikitLearnClassifier),4
"SVC(kernel='linear', C = 1.0)",4
"SVC(kernel='linear',C=C)",4
"SVC(kernel='precomputed', shrinking=False, C=1)",4
"SVC(C=C, gamma=gamma, random_state=2)",4
SVC(input_dict),4
"SVC(kernel='linear', C=100)",4
"SVC(C=cost, gamma=gamma, class_weight='auto')",4
SVC (Support Vector Classification),4
"SVC(kernel = 'linear', probability = True)",4
SVC(kernel=arc_cosine),4
SVC(kernel=str('linear'),4
"SVC(kernel=""linear"", probability=True)",4
"SVC(C=1.0,gamma=0.0955,probability=True, cache_size=7000)",4
"SVC(probability=True, cache_size=7000)",4
"SVC(C=1.0, kernel='rbf', degree=3, gamma=0.0, coef0=0.0, shrinking=True, probability=True, tol=0.001, cache_size=200, class_weight=None, verbose=False, max_iter=-1, random_state=None)",4
SVC(verbose=True),4
"SVC(i,fmap)",4
"SVC(C=C, kernel='rbf', gamma=gamma, class_weight='auto')",4
"SVC(C=10000, gamma=0.75)",4
"SVC(kernel='linear', C=C, tol=0.00001)",4
"SVC(kernel=""precomputed"")",4
"SVC(random_state=self.random_state, **self.kwargs)",4
"SVC(C=1,kernel='rbf',gamma=0.001)",4
"SVC(C=1., gamma=0.001, kernel='rbf', random_state=0)",4
SVC (F1 score={:.3f}),4
"SVC(C=c,probability=True, class_weight='auto',kernel='linear')",4
SVC(probability=False),4
SVC(C=10.),3
"SVC(gamma=gamma, C=C)",3
SVC (Support vector clustering),3
"SVC(verbose=False, kernel='linear', probability=False, random_state=0, cache_size=2000, class_weight='auto')",3
"SVC(C=0.02, kernel='linear', probability=True)",3
SVC(gamma=0.01),3
"SVC(kernel = ""linear"")",3
"SVC(kernel=""rbf"", C=10000)",3
"SVC(kernel='linear', C=0.025)",3
SVC(random_state=self.random_state),3
SVC(random_state=42),3
"SVC(kernel=paras['svm'][1], C=paras['svm'][0], probability=True)",3
"SVC(kernel='rbf' ,probability=True, max_iter=100000)",3
"SVC(C=1, kernel='linear', class_weight='auto')",3
"SVC(C = 1, kernel = 'linear', class_weight = 'auto')",3
"SVC(kernel='rbf',C=c, gamma=g)",3
"SVC(kernel='poly', degree=2, C=1000000)",3
"SVC(kernel=""rbf"")",3
"SVC(kernel='linear', verbose=True)",3
"SVC(C=C, kernel=kernel, degree=degree, gamma=gamma, coef0=coef0, shrinking=shrinking, probability=probability, tol=tol, cache_size=cache_size, class_weight=class_weight, verbose=verbose, max_iter=max_iter, decision_function_shape=decision_function_shape, random_state=random_state)",3
"SVC(C = Cparam, kernel = 'linear',  probability = True)",3
"SVC(C= np.inf , kernel=""rbf"", coef0=1, gamma=gama)",3
"SVC(kernel='rbf', C=1)",3
SVC (support vector classifier),3
SVC( kernel = 'linear'),3
SVC(Classifier),3
"SVC(kernel=kernel, gamma=2)",3
"SVC(kernel='rbf', gamma=0.7, C=1.0)",3
"SVC(kernel='poly', degree=2)",3
"SVC(kernel = 'rbf', random_state = 0)",3
"SVC(C=1,kernel='rbf',probability=True)",3
"SVC(C=C, kernel=kernel)",3
SVC(**SVC_parameters),3
"SVC(gamma=manual_param['gamma'], C=manual_param['C'])",3
SVC(object),3
"SVC(C = svmDef.Cfactor, decision_function_shape = 'ovr', probability=True)",3
"SVC(C = C, kernel = kernel)",3
"SVC( C = C, gamma = gamma, shrinking = shrinking, probability = probability, verbose = verbose )",3
"SVC(kernel=""rbf"", degree=2, C=1)",3
"SVC(probability=True, **kwargs)",3
"SVC(probability=True, kernel='rbf')",3
"SVC(gamma = 0.001, C= 100.)",3
"SVC(kernel = 'linear', C = self._best_parameter_C, tol = 1.0)",3
"SVC(kernel='precomputed', shrinking=False, C=10)",3
"SVC(kernel='rbf', gamma=0.7, C=C)",3
SVC(C=1e5),3
SVC(C=1.0),3
"SVC(kernel=arc_cosine, cache_size=4096)",3
"SVC(kernel='linear', class_weight='balanced')",3
SVC(kernel=my_kernel),3
"SVC(C=params['C'],cache_size=7000,class_weight=None,coef0=0.0,decision_function_shape=None,degree=3,gamma=params['gamma'],kernel='rbf',max_iter=-1,probability=True,random_state=None,shrinking=True,tol=0.001,verbose=False)",2
"SVC(C=290.4,gamma=0.0961,probability=True, cache_size=7000)",2
"SVC(kernel=kernel, max_iter=max_iter)",2
"SVC(probability=True, random_state=self.random_state)",2
"SVC(gamma=0.001, kernel='linear', C=100)",2
SVC(C=10),2
SVC(cache_size=2048),2
SVC(args),2
"SVC(kernel='rbf', C=10, verbose=True, tol=1e-5)",2
"SVC(C=1.0, kernel='rbf', probability=True)",2
SVC(gamma=.05),2
"SVC(gamma=2, C=1, verbose=True)",2
SVC(C=2.8),2
