LogisticRegression,831
RandomForestClassifier,728
PCA,635
KMeans,561
LinearRegression,509
GridSearchCV,483
CountVectorizer,466
SVC,432
StandardScaler,352
TfidfVectorizer,349
KNeighborsClassifier,348
LabelEncoder,304
DecisionTreeClassifier,284
Pipeline,282
TSNE,278
SGDClassifier,221
RandomForestRegressor,211
GaussianNB,195
KFold,191
LinearSVC,187
MultinomialNB,166
StratifiedKFold,163
OneHotEncoder,131
ShuffleSplit,125
DecisionTreeRegressor,123
GradientBoostingClassifier,121
Ridge,119
DictVectorizer,113
MinMaxScaler,110
PolynomialFeatures,104
Imputer,96
SelectKBest,92
BaseEstimator,91
LabelBinarizer,87
ExtraTreesClassifier,85
DBSCAN,84
TfidfTransformer,71
AdaBoostClassifier,70
KernelDensity,65
RandomizedSearchCV,64
Perceptron,60
BernoulliNB,59
SVR,58
Lasso,57
TruncatedSVD,54
KNeighborsRegressor,50
StratifiedShuffleSplit,48
NearestNeighbors,46
BaggingClassifier,46
MLPClassifier,45
HashingVectorizer,44
GradientBoostingRegressor,41
PassiveAggressiveClassifier,41
AgglomerativeClustering,39
ExtraTreesRegressor,37
LassoCV,35
SGDRegressor,34
FastICA,32
RidgeClassifier,31
NearestCentroid,30
MiniBatchKMeans,30
LeaveOneOut,27
MLPRegressor,26
LinearDiscriminantAnalysis,26
MeanShift,24
BayesianRidge,24
Isomap,21
KernelPCA,20
RFE,20
MDS,20
NMF,20
RidgeCV,19
DummyClassifier,18
OneVsRestClassifier,18
KernelRidge,18
VotingClassifier,18
MultiLabelBinarizer,17
VarianceThreshold,17
BaggingRegressor,17
AdaBoostRegressor,17
IsolationForest,15
ParameterGrid,15
AffinityPropagation,15
SelectFromModel,14
TransformerMixin,14
SelectPercentile,13
LatentDirichletAllocation,13
ElasticNetCV,12
QuadraticDiscriminantAnalysis,12
Normalizer,12
GraphLassoCV,12
DummyRegressor,12
ElasticNet,12
SpectralClustering,11
LabelPropagation,11
GaussianMixture,10
LogisticRegressionCV,10
GaussianProcessRegressor,10
FunctionTransformer,10
OneClassSVM,9
LabelSpreading,9
Binarizer,9
RFECV,8
OneVsOneClassifier,8
BernoulliRBM,8
PLSRegression,7
EllipticEnvelope,7
RBFSampler,7
KDTree,7
PatchExtractor,6
RANSACRegressor,5
LeaveOneGroupOut,5
EmpiricalCovariance,5
LocallyLinearEmbedding,5
FeatureHasher,5
FeatureUnion,5
CalibratedClassifierCV,5
FactorAnalysis,5
ARDRegression,4
LeavePGroupsOut,4
SparsePCA,4
Nystroem,4
Lars,3
LassoLarsCV,3
SpectralEmbedding,3
ClassifierMixin,3
TimeSeriesSplit,3
BallTree,3
IsotonicRegression,2
CCA,2
RobustScaler,2
IncrementalPCA,2
GaussianProcessClassifier,2
DistanceMetric,2
Birch,2
OrthogonalMatchingPursuit,2
LarsCV,2
PLSCanonical,2
RadiusNeighborsClassifier,1
RadiusNeighborsRegressor,1
RandomTreesEmbedding,1
LassoLars,1
LinearSVR,1
SparseCoder,1
NuSVR,1
ExtraTreeRegressor,1
NuSVC,1
GaussianRandomProjection,1
MultiTaskLasso,1
LassoLarsIC,1
MaxAbsScaler,1
RidgeClassifierCV,1
DictionaryLearning,1
