datasets,887
preprocessing,710
metrics,605
linear_model,597
svm,559
tree,226
neighbors,121
cluster,83
model_selection,74
decomposition,69
mixture,68
ensemble,59
manifold,47
feature_extraction,22
image,21
naive_bayes,16
text,14
feature_selection,13
pairwise,7
pipeline,7
PatchExtractor,6
random_projection,6
gaussian_process,5
semi_supervised,1
libsvm,1
partial_dependence,1
metrics,3185
datasets,2806
linear_model,2656
preprocessing,2131
ensemble,1482
svm,1250
feature_extraction,1141
model_selection,1031
text,935
decomposition,911
cluster,874
neighbors,689
tree,673
naive_bayes,436
manifold,381
pipeline,356
utils,261
feature_selection,204
base,160
mixture,139
pairwise,107
neural_network,79
gaussian_process,41
discriminant_analysis,38
extmath,36
dummy,30
multiclass,26
semi_supervised,24
covariance,24
image,20
kernel_ridge,18
kernel_approximation,11
cross_decomposition,11
validation,11
partial_dependence,7
random_projection,7
calibration,5
isotonic,2
estimator_checks,1
