repo_name,count
ryfeus/lambda-packs,195
nok/sklearn-porter,85
scikit-learn-contrib/imbalanced-learn,70
fmfn/UnbalancedDataset,61
glemaitre/UnbalancedDataset,61
itdxer/neupy,48
luispedro/BuildingMachineLearningSystemsWithPython,46
mne-tools/mne-python,44
deepchem/deepchem,41
SeldonIO/seldon-server,40
jundongl/scikit-feast,40
jundongl/scikit-feature,39
amueller/advanced_training,39
lensacom/sparkit-learn,38
DistrictDataLabs/yellowbrick,38
msmbuilder/msmbuilder,38
tgsmith61591/skutil,35
wrichert/BuildingMachineLearningSystemsWithPython,34
FreeDiscovery/FreeDiscovery,34
TeamHG-Memex/eli5,34
rhiever/sklearn-benchmarks,32
ElvisLouis/code,32
amueller/pystruct,29
yandex/rep,29
pystruct/pystruct,29
ChenglongChen/Kaggle_HomeDepot,27
sklearn-theano/sklearn-theano,27
MostafaGazar/tensorflow,27
natanielruiz/android-yolo,27
scikit-optimize/scikit-optimize,26
diana-hep/carl,26
ntucllab/libact,25
plowman/python-mcparseface,25
CartoDB/crankshaft,24
cognoma/machine-learning,24
rasbt/mlxtend,24
wchan/tensorflow,24
IntelPNI/brainiak,23
probml/pyprobml,23
arthurmensch/modl,22
cigroup-ol/windml,22
lukas/scikit-class,21
mdegis/machine-learning,20
viisar/brew,20
edublancas/sklearn-evaluation,20
tobegit3hub/deep_cnn,20
ahara/kaggle_otto,19
EducationalTestingService/skll,19
h2oai/h2o-3,19
MartinThoma/algorithms,19
MicrosoftGenomics/FaST-LMM,19
georgetown-analytics/machine-learning,19
scikit-multilearn/scikit-multilearn,18
ClimbsRocks/auto_ml,18
tomasreimers/tensorflow-emscripten,18
arogozhnikov/hep_ml,18
benoitsteiner/tensorflow-opencl,18
puyokw/kaggle_Otto,17
skggm/skggm,17
AstroHackWeek/AstroHackWeek2015,17
seg/2016-ml-contest,17
tensorflow/tensorflow,17
EvoML/EvoML,17
dougalsutherland/skl-groups,17
doordash/auto_ml,17
trevorstephens/gplearn,16
poldrack/openfmri,16
msmbuilder/osprey,16
alexandrebarachant/pyRiemann,16
yuraic/koza4ok,16
rushter/MLAlgorithms,16
all-umass/metric-learn,16
rhiever/tpot,15
alexandrebarachant/Grasp-and-lift-EEG-challenge,15
glouppe/scikit-optimize,15
alexandrebarachant/decoding-brain-challenge-2016,15
jcrist/dask-learn,15
wiki-ai/revscoring,15
astroML/sklearn_tutorial,15
oddt/oddt,15
kingjr/jr-tools,14
mmp2/megaman,14
dlatk/dlatk,14
IraKorshunova/kaggle-seizure-prediction,14
donlnz/nonconformist,14
melqkiades/yelp,14
