line,path,repo_name
from sklearn import metrics,tensorflow/examples/learn/hdf5_classification.py,jhseu/tensorflow
from sklearn import metrics,jupyter/utils/irf_utils.py,Yu-Group/scikit-learn-sandbox
from sklearn import metrics,tensorflow/examples/learn/text_classification.py,jhaux/tensorflow
from sklearn import metrics,pilot/detection_listener/Clustering.py,iaklampanos/bde-pilot-2
from sklearn import metrics,quality3.py,ijmarshall/cochrane-nlp
from sklearn import metrics,cervical-cancer-screening/models/src/XGBFull-selected-fh.py,paulperry/kaggle
from sklearn import metrics,tensorflow/examples/learn/multiple_gpu.py,cancan101/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_run_config.py,aselle/tensorflow
from sklearn import metrics,tensorflow/examples/learn/boston.py,zasdfgbnm/tensorflow
from sklearn import metrics,tensorflow/examples/skflow/text_classification_cnn.py,Pingjun/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_rnn.py,scenarios/tensorflow
from sklearn import metrics,Task1/CreateClassifiersusingPOSTagger.py,njetty/Yelp-Review-Analysis
from sklearn import metrics,tensorflow/examples/skflow/mnist_weights.py,chemelnucfin/tensorflow
from sklearn import metrics,ParaEva/copyfromothers/DFD.py,spartazhihu/FISF
from sklearn import metrics,tensorflow/examples/learn/text_classification_cnn.py,asadziach/tensorflow
from sklearn import metrics,tensorflow/examples/learn/mnist.py,Carmezim/tensorflow
from sklearn import metrics,evaluation/webapp/evaluation.py,dssg/cincinnati2015-public
from sklearn import metrics,dialog_cross_validation_single_fold.py,ishalyminov/memn2n
from sklearn import metrics,src/utilities.py,bluemonk482/tdparse
from sklearn import metrics,tensorflow/examples/learn/multiple_gpu.py,ravindrapanda/tensorflow
from sklearn import metrics,Project/BaggedClassifierExplorer.py,tpsatish95/Youtube-Comedy-Comparison
from sklearn import metrics,Cause-effect/model_comparison/generate_test_set.py,Diviyan-Kalainathan/causal-humans
from sklearn import metrics,user_study/train_study.py,mramire8/structured
from sklearn import metrics,doc/tutorial/text_analytics/skeletons/exercise_01_language_train_model.py,kevin-coder/scikit-learn-fork
from sklearn import metrics,test_synthetic_evaluation.py,xiaohan2012/lst
from sklearn import metrics,tensorflow/examples/learn/iris_custom_model.py,gunan/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_run_config.py,aam-at/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_custom_model.py,sugartom/tensorflow-alien
from sklearn import metrics,tensorflow/examples/learn/iris_run_config.py,cancan101/tensorflow
from sklearn import metrics,ProFET/feat_extract/OutPutRes.py,ddofer/ProFET
from sklearn import metrics,DigitRecognizer/bindata.py,n7jti/kaggle
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_cnn.py,Intel-Corporation/tensorflow
from sklearn import metrics,tensorflow/examples/skflow/text_classification.py,gautam1858/tensorflow
from sklearn import metrics,tensorflow/contrib/tensorflow-master/tensorflow/examples/learn/text_classification.py,AsimmHirani/ISpyPi
from sklearn import metrics,tensorflow/examples/learn/iris_custom_model.py,RapidApplicationDevelopment/tensorflow
from sklearn import metrics,pywim/utils/stats/metrics.py,xmnlab/pywim
from sklearn import metrics,examples/text/document_classification_20newsgroups.py,jjx02230808/project0223
from sklearn import metrics,src/pyimpute/_main.py,perrygeo/pyimpute
from sklearn import metrics,tensorflow/examples/learn/iris.py,nightjean/Deep-Learning
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,eerwitt/tensorflow
from sklearn import metrics,runs/2016/dnn2016med_antimfcc/src/evaluation.py,rohit21122012/DCASE2013
from sklearn import metrics,tensorflow/examples/learn/multiple_gpu.py,shakamunyi/tensorflow
from sklearn import metrics,src/nnmetaplot.py,jgdwyer/nn-convection
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_cnn.py,anand-c-goog/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_custom_model.py,mengxn/tensorflow
from sklearn import metrics,knn.py,lingcheng99/kagge-digit-recognition
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,suiyuan2009/tensorflow
from sklearn import metrics,backend.py,giansegato/berlin-devfest-2016-backend
from sklearn import metrics,Clustering/apply_misclassification.py,Diviyan-Kalainathan/causal-humans
from sklearn import metrics,citibike/ml.py,sokser/citibike
